date,state,fips,cases,deaths,population,cases_prop
2020-02-11,Illinois,17,2,0,12671821,0.01578305122839093
2020-02-11,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-11,Washington,53,1,0,7614893,0.013132160885254724
2020-02-11,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-12,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-12,California,06,7,0,39512223,0.017716036883067804
2020-02-12,Illinois,17,2,0,12671821,0.01578305122839093
2020-02-12,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-12,Texas,48,1,0,28995881,0.0034487657057221334
2020-02-12,Washington,53,1,0,7614893,0.013132160885254724
2020-02-12,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-13,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-13,California,06,7,0,39512223,0.017716036883067804
2020-02-13,Illinois,17,2,0,12671821,0.01578305122839093
2020-02-13,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-13,Texas,48,2,0,28995881,0.006897531411444267
2020-02-13,Washington,53,1,0,7614893,0.013132160885254724
2020-02-13,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-14,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-14,California,06,7,0,39512223,0.017716036883067804
2020-02-14,Illinois,17,2,0,12671821,0.01578305122839093
2020-02-14,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-14,Texas,48,2,0,28995881,0.006897531411444267
2020-02-14,Washington,53,1,0,7614893,0.013132160885254724
2020-02-14,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-15,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-15,California,06,7,0,39512223,0.017716036883067804
2020-02-15,Illinois,17,2,0,12671821,0.01578305122839093
2020-02-15,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-15,Texas,48,2,0,28995881,0.006897531411444267
2020-02-15,Washington,53,1,0,7614893,0.013132160885254724
2020-02-15,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-16,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-16,California,06,7,0,39512223,0.017716036883067804
2020-02-16,Illinois,17,2,0,12671821,0.01578305122839093
2020-02-16,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-16,Texas,48,2,0,28995881,0.006897531411444267
2020-02-16,Washington,53,1,0,7614893,0.013132160885254724
2020-02-16,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-17,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-17,California,06,7,0,39512223,0.017716036883067804
2020-02-17,Illinois,17,2,0,12671821,0.01578305122839093
2020-02-17,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-17,Nebraska,31,10,0,1934408,0.5169540241769057
2020-02-17,Texas,48,2,0,28995881,0.006897531411444267
2020-02-17,Washington,53,1,0,7614893,0.013132160885254724
2020-02-17,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-18,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-18,California,06,7,0,39512223,0.017716036883067804
2020-02-18,Illinois,17,2,0,12671821,0.01578305122839093
2020-02-18,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-18,Nebraska,31,10,0,1934408,0.5169540241769057
2020-02-18,Texas,48,2,0,28995881,0.006897531411444267
2020-02-18,Washington,53,1,0,7614893,0.013132160885254724
2020-02-18,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-19,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-19,California,06,7,0,39512223,0.017716036883067804
2020-02-19,Illinois,17,2,0,12671821,0.01578305122839093
2020-02-19,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-19,Nebraska,31,10,0,1934408,0.5169540241769057
2020-02-19,Texas,48,2,0,28995881,0.006897531411444267
2020-02-19,Washington,53,1,0,7614893,0.013132160885254724
2020-02-19,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-20,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-20,California,06,8,0,39512223,0.020246899294934635
2020-02-20,Illinois,17,2,0,12671821,0.01578305122839093
2020-02-20,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-20,Nebraska,31,11,0,1934408,0.5686494265945964
2020-02-20,Texas,48,2,0,28995881,0.006897531411444267
2020-02-20,Washington,53,1,0,7614893,0.013132160885254724
2020-02-20,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-21,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-21,California,06,9,0,39512223,0.02277776170680146
2020-02-21,Illinois,17,2,0,12671821,0.01578305122839093
2020-02-21,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-21,Nebraska,31,11,0,1934408,0.5686494265945964
2020-02-21,Texas,48,4,0,28995881,0.013795062822888534
2020-02-21,Washington,53,1,0,7614893,0.013132160885254724
2020-02-21,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-22,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-22,California,06,9,0,39512223,0.02277776170680146
2020-02-22,Illinois,17,2,0,12671821,0.01578305122839093
2020-02-22,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-22,Nebraska,31,11,0,1934408,0.5686494265945964
2020-02-22,Texas,48,4,0,28995881,0.013795062822888534
2020-02-22,Washington,53,1,0,7614893,0.013132160885254724
2020-02-22,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-23,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-23,California,06,9,0,39512223,0.02277776170680146
2020-02-23,Illinois,17,2,0,12671821,0.01578305122839093
